num_layers,num_nodes,learning_rate,epochs,optimizer,num_splits,test_loss,r2
5,64,0.01,100,RMSprop,10,0.1433894038200378,0.7623641650882494
5,64,0.01,100,ADAM,5,0.0375090464949607,0.9380040775010804
5,64,0.01,100,ADAM,10,0.0438176020979881,0.9275094065806492
5,64,0.001,50,SGD,5,0.4518588781356811,0.2207009605631933
5,64,0.001,50,SGD,10,0.0989192873239517,0.8012915515768836
5,64,0.001,50,RMSprop,5,0.0318108461797237,0.9493462759017376
5,64,0.001,50,RMSprop,10,0.0229899361729621,0.959917744255978
5,64,0.001,50,ADAM,5,0.0121284555643796,0.9818600547242424
5,64,0.001,50,ADAM,10,0.0099562956020236,0.9836990444287892
5,64,0.001,100,SGD,5,0.1231762021780014,0.726651372061022
5,64,0.001,100,SGD,10,0.0124253705143928,0.9821912499884556
5,64,0.001,100,RMSprop,5,0.0278762727975845,0.9519667661738832
5,64,0.001,100,RMSprop,10,0.0304519310593605,0.945647497173157
5,64,0.001,100,ADAM,5,0.0060326885432004,0.990753539674718
5,64,0.001,100,ADAM,10,0.0063368966802954,0.990198198726598
5,64,0.0001,50,SGD,5,0.6465933918952942,-0.1220407259279307
5,64,0.0001,50,SGD,10,0.6304433941841125,-0.0609163642094987
5,64,0.0001,50,RMSprop,5,0.0069075939245522,0.9898709169821714
5,64,0.0001,50,RMSprop,10,0.0054221567697823,0.9913289437046664
5,64,0.0001,50,ADAM,5,0.0065060388296842,0.9906580393688096
5,64,0.0001,50,ADAM,10,0.005704412702471,0.9917662679631284
5,64,0.0001,100,SGD,5,0.5994183421134949,-0.0005791691674617
5,64,0.0001,100,RMSprop,5,0.0076311044394969,0.988792809564265
5,64,0.0001,100,ADAM,5,0.0058777844533324,0.9912968971219516
5,64,1e-05,50,SGD,5,0.6356220841407776,-0.07427922387189
5,64,1e-05,50,RMSprop,5,0.009363180026412,0.987154411601184
5,64,1e-05,50,ADAM,5,0.0091874962672591,0.9867125066489578
5,64,1e-05,100,SGD,5,0.6572086215019226,-0.1323041120558376
5,64,1e-05,100,RMSprop,5,0.0083809001371264,0.9879380841749016
5,64,1e-05,100,ADAM,5,0.0094366446137428,0.9865384243512316
5,256,0.01,50,SGD,5,0.0086340764537453,0.9880960585963868
5,256,0.01,50,RMSprop,5,0.1655837297439575,0.7014837935857461
5,256,0.01,50,ADAM,5,0.1076959148049354,0.8213197241511638
5,256,0.01,100,SGD,5,0.0081906169652938,0.9886178470630892
5,256,0.01,100,RMSprop,5,0.3022402822971344,0.4757990684551367
5,256,0.01,100,ADAM,5,0.1178685650229454,0.7980285049858464
